gene,score,adjusted_pval,sample
ENSG00000196139,72.75608,0.0,SRX17915870
ENSG00000198074,72.70228,0.0,SRX17915870
ENSG00000262814,72.07476,0.0,SRX17915870
ENSG00000127824,71.34741,0.0,SRX17915870
ENSG00000170421,69.76791,0.0,SRX17915870
ENSG00000151632,69.41489,0.0,SRX17915870
ENSG00000135480,69.26327,0.0,SRX17915870
ENSG00000111057,69.14553,0.0,SRX17915870
ENSG00000183207,69.07117,0.0,SRX17915870
ENSG00000168393,69.01176,0.0,SRX17915870
ENSG00000164611,68.82677,0.0,SRX17915870
ENSG00000176153,68.81751,0.0,SRX17915870
ENSG00000142507,68.6048,0.0,SRX17915870
ENSG00000277791,68.57692,0.0,SRX17915870
ENSG00000167085,68.513275,0.0,SRX17915870
ENSG00000188643,68.34105,0.0,SRX17915870
ENSG00000169908,68.18376,0.0,SRX17915870
ENSG00000130204,68.150406,0.0,SRX17915870
ENSG00000205426,68.02233,0.0,SRX17915870
ENSG00000167900,67.40597,0.0,SRX17915870
ENSG00000135624,67.39613,0.0,SRX17915870
ENSG00000239672,66.91347,0.0,SRX17915870
ENSG00000189159,66.838295,0.0,SRX17915870
ENSG00000167644,66.82097,0.0,SRX17915870
ENSG00000177700,66.63026,0.0,SRX17915870
ENSG00000188229,66.597305,0.0,SRX17915870
ENSG00000179091,66.48494,0.0,SRX17915870
ENSG00000106211,66.226654,0.0,SRX17915870
ENSG00000165916,66.079216,0.0,SRX17915870
ENSG00000204922,66.052925,0.0,SRX17915870
ENSG00000179271,65.9952,0.0,SRX17915870
ENSG00000125743,65.93639,0.0,SRX17915870
ENSG00000105254,65.842545,0.0,SRX17915870
ENSG00000100804,65.66622,0.0,SRX17915870
ENSG00000107223,65.63485,0.0,SRX17915870
ENSG00000072506,65.50321,0.0,SRX17915870
ENSG00000159199,65.4807,0.0,SRX17915870
ENSG00000181019,65.350105,0.0,SRX17915870
ENSG00000128626,65.334435,0.0,SRX17915870
ENSG00000213977,64.9551,0.0,SRX17915870
ENSG00000087191,64.87751,0.0,SRX17915870
ENSG00000168894,64.723366,0.0,SRX17915870
ENSG00000165092,64.63987,0.0,SRX17915870
ENSG00000145912,64.536156,0.0,SRX17915870
ENSG00000105379,64.52111,0.0,SRX17915870
ENSG00000182004,64.4233,0.0,SRX17915870
ENSG00000177156,64.17026,0.0,SRX17915870
ENSG00000162910,64.12393,0.0,SRX17915870
ENSG00000179958,64.12246,0.0,SRX17915870
ENSG00000177697,64.12004,0.0,SRX17915870
ENSG00000287001,113.313934,0.0,SRX17150748
ENSG00000105974,104.07562,0.0,SRX17150748
ENSG00000057019,103.77788,0.0,SRX17150748
ENSG00000182752,101.29688,0.0,SRX17150748
ENSG00000198959,100.249565,0.0,SRX17150748
ENSG00000106366,99.82159,0.0,SRX17150748
ENSG00000124225,96.220406,0.0,SRX17150748
ENSG00000134013,96.18668,0.0,SRX17150748
ENSG00000138119,94.62402,0.0,SRX17150748
ENSG00000255198,94.463905,0.0,SRX17150748
ENSG00000167779,94.327934,0.0,SRX17150748
ENSG00000167641,93.66117,0.0,SRX17150748
ENSG00000188153,93.50365,0.0,SRX17150748
ENSG00000135480,93.43432,0.0,SRX17150748
ENSG00000197565,92.99007,0.0,SRX17150748
ENSG00000184347,92.74141,0.0,SRX17150748
ENSG00000227036,92.130875,0.0,SRX17150748
ENSG00000148344,91.99799,0.0,SRX17150748
ENSG00000023839,91.42775,0.0,SRX17150748
ENSG00000205426,91.37555,0.0,SRX17150748
ENSG00000177469,91.314735,0.0,SRX17150748
ENSG00000041353,91.0778,0.0,SRX17150748
ENSG00000164120,91.02352,0.0,SRX17150748
ENSG00000133131,89.99022,0.0,SRX17150748
ENSG00000085662,89.64484,0.0,SRX17150748
ENSG00000099250,89.4659,0.0,SRX17150748
ENSG00000039560,88.73658,0.0,SRX17150748
ENSG00000266402,88.48841,0.0,SRX17150748
ENSG00000140416,87.56747,0.0,SRX17150748
ENSG00000148655,87.36788,0.0,SRX17150748
ENSG00000101361,87.30872,0.0,SRX17150748
ENSG00000105738,86.646965,0.0,SRX17150748
ENSG00000006327,86.336174,0.0,SRX17150748
ENSG00000136205,85.68001,0.0,SRX17150748
ENSG00000005884,85.5517,0.0,SRX17150748
ENSG00000185942,85.45524,0.0,SRX17150748
ENSG00000185215,85.36684,0.0,SRX17150748
ENSG00000164687,84.989426,0.0,SRX17150748
ENSG00000108602,84.70469,0.0,SRX17150748
ENSG00000136448,84.2374,0.0,SRX17150748
ENSG00000135919,84.00281,0.0,SRX17150748
ENSG00000276850,83.92032,0.0,SRX17150748
ENSG00000160211,83.551186,0.0,SRX17150748
ENSG00000171877,83.111,0.0,SRX17150748
ENSG00000183780,82.85948,0.0,SRX17150748
ENSG00000008394,82.661674,0.0,SRX17150748
ENSG00000228253,82.65144,0.0,SRX17150748
ENSG00000120885,81.647484,0.0,SRX17150748
ENSG00000187720,80.8289,0.0,SRX17150748
ENSG00000105281,80.45021,0.0,SRX17150748
ENSG00000176153,79.4417,0.0,SRX25289884
ENSG00000187134,76.4393,0.0,SRX25289884
ENSG00000089127,71.74772,0.0,SRX25289884
ENSG00000168955,71.124756,0.0,SRX25289884
ENSG00000162545,70.23825,0.0,SRX25289884
ENSG00000179862,68.927666,0.0,SRX25289884
ENSG00000104760,68.567955,0.0,SRX25289884
ENSG00000227471,67.80763,0.0,SRX25289884
ENSG00000275216,67.35006,0.0,SRX25289884
ENSG00000121039,66.12615,0.0,SRX25289884
ENSG00000109072,66.04734,0.0,SRX25289884
ENSG00000129007,65.6129,0.0,SRX25289884
ENSG00000196139,64.800316,0.0,SRX25289884
ENSG00000151632,63.849712,0.0,SRX25289884
ENSG00000258818,63.652885,0.0,SRX25289884
ENSG00000198732,63.583076,0.0,SRX25289884
ENSG00000198074,63.51634,0.0,SRX25289884
ENSG00000172572,63.084488,0.0,SRX25289884
ENSG00000163735,62.721695,0.0,SRX25289884
ENSG00000141542,62.61018,0.0,SRX25289884
ENSG00000143819,62.34401,0.0,SRX25289884
ENSG00000214530,61.980522,0.0,SRX25289884
ENSG00000166741,61.97964,0.0,SRX25289884
ENSG00000176907,61.730976,0.0,SRX25289884
ENSG00000214274,61.730824,0.0,SRX25289884
ENSG00000111907,61.58047,0.0,SRX25289884
ENSG00000106541,61.19994,0.0,SRX25289884
ENSG00000128311,61.01722,0.0,SRX25289884
ENSG00000183891,60.65397,0.0,SRX25289884
ENSG00000003436,60.593838,0.0,SRX25289884
ENSG00000133636,60.198547,0.0,SRX25289884
ENSG00000253944,59.982662,0.0,SRX25289884
ENSG00000135750,59.98135,0.0,SRX25289884
ENSG00000205138,59.84227,0.0,SRX25289884
ENSG00000136379,59.65085,0.0,SRX25289884
ENSG00000101255,59.430515,0.0,SRX25289884
ENSG00000272398,59.251534,0.0,SRX25289884
