names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000142227,151.02783,2.9438488,0.0,0.0,6 gy γ-ray treatment
ENSG00000067225,146.84,1.6505449,0.0,0.0,6 gy γ-ray treatment
ENSG00000138061,144.80072,5.2825494,0.0,0.0,6 gy γ-ray treatment
ENSG00000213145,144.24207,3.3582046,0.0,0.0,6 gy γ-ray treatment
ENSG00000057019,140.77728,2.357172,0.0,0.0,6 gy γ-ray treatment
ENSG00000161011,140.61885,2.2496114,0.0,0.0,6 gy γ-ray treatment
ENSG00000087086,140.46692,2.383337,0.0,0.0,6 gy γ-ray treatment
ENSG00000126247,140.32574,2.1500018,0.0,0.0,6 gy γ-ray treatment
ENSG00000105738,139.3806,2.6616745,0.0,0.0,6 gy γ-ray treatment
ENSG00000160211,136.14941,2.524314,0.0,0.0,6 gy γ-ray treatment
ENSG00000120885,135.6492,2.8374214,0.0,0.0,6 gy γ-ray treatment
ENSG00000167641,133.93489,4.2777953,0.0,0.0,6 gy γ-ray treatment
ENSG00000230876,133.78693,2.752109,0.0,0.0,6 gy γ-ray treatment
ENSG00000182718,133.7418,1.8423504,0.0,0.0,6 gy γ-ray treatment
ENSG00000130402,132.40358,1.9172001,0.0,0.0,6 gy γ-ray treatment
ENSG00000167996,131.13606,1.7236193,0.0,0.0,6 gy γ-ray treatment
ENSG00000154229,130.37244,2.3467345,0.0,0.0,6 gy γ-ray treatment
ENSG00000166949,127.994125,2.4555826,0.0,0.0,6 gy γ-ray treatment
ENSG00000157168,126.01006,2.9386418,0.0,0.0,6 gy γ-ray treatment
ENSG00000198899,125.967575,1.6589715,0.0,0.0,6 gy γ-ray treatment
ENSG00000164120,124.83766,3.2047694,0.0,0.0,6 gy γ-ray treatment
ENSG00000140859,124.3519,2.3193746,0.0,0.0,6 gy γ-ray treatment
ENSG00000198727,122.64857,1.418035,0.0,0.0,6 gy γ-ray treatment
ENSG00000156113,122.4413,3.1298,0.0,0.0,6 gy γ-ray treatment
ENSG00000164687,122.20813,2.3545966,0.0,0.0,6 gy γ-ray treatment
ENSG00000198712,121.29187,1.3045998,0.0,0.0,6 gy γ-ray treatment
ENSG00000138119,121.00665,1.987036,0.0,0.0,6 gy γ-ray treatment
ENSG00000158321,120.954475,3.096596,0.0,0.0,6 gy γ-ray treatment
ENSG00000187720,120.05505,2.5276818,0.0,0.0,6 gy γ-ray treatment
ENSG00000135480,119.64622,2.4985676,0.0,0.0,6 gy γ-ray treatment
ENSG00000116833,119.487175,3.429332,0.0,0.0,6 gy γ-ray treatment
ENSG00000105185,117.17087,1.5574898,0.0,0.0,6 gy γ-ray treatment
ENSG00000196154,117.14586,2.1942873,0.0,0.0,6 gy γ-ray treatment
ENSG00000146555,116.63304,4.6286416,0.0,0.0,6 gy γ-ray treatment
ENSG00000067057,116.37605,2.2695525,0.0,0.0,6 gy γ-ray treatment
ENSG00000041357,115.98624,1.6626806,0.0,0.0,6 gy γ-ray treatment
ENSG00000090013,115.83306,2.032283,0.0,0.0,6 gy γ-ray treatment
ENSG00000125868,115.8276,1.1192775,0.0,0.0,6 gy γ-ray treatment
ENSG00000053747,115.71873,3.702006,0.0,0.0,6 gy γ-ray treatment
ENSG00000170315,115.542465,1.3079523,0.0,0.0,6 gy γ-ray treatment
ENSG00000157483,114.93945,1.952695,0.0,0.0,6 gy γ-ray treatment
ENSG00000148344,114.00645,3.1896744,0.0,0.0,6 gy γ-ray treatment
ENSG00000101224,112.92866,2.380936,0.0,0.0,6 gy γ-ray treatment
ENSG00000198938,111.63657,1.2808903,0.0,0.0,6 gy γ-ray treatment
ENSG00000101871,111.095665,2.1497157,0.0,0.0,6 gy γ-ray treatment
ENSG00000080824,110.905464,1.4291147,0.0,0.0,6 gy γ-ray treatment
ENSG00000105974,110.659996,1.9144254,0.0,0.0,6 gy γ-ray treatment
ENSG00000092199,110.30014,1.1753328,0.0,0.0,6 gy γ-ray treatment
ENSG00000160789,110.03664,1.4885176,0.0,0.0,6 gy γ-ray treatment
ENSG00000268621,109.85315,2.8350852,0.0,0.0,6 gy γ-ray treatment
