names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000135480,89.6495,3.4422672,0.0,0.0,8 hours post infection
ENSG00000205426,85.40327,4.143564,0.0,0.0,8 hours post infection
ENSG00000168003,81.47292,2.339625,0.0,0.0,8 hours post infection
ENSG00000111057,79.81489,2.6503825,0.0,0.0,8 hours post infection
ENSG00000170421,76.98622,2.4442742,0.0,0.0,8 hours post infection
ENSG00000145920,71.479836,2.33507,0.0,0.0,8 hours post infection
ENSG00000281903,70.89564,2.2616107,0.0,0.0,8 hours post infection
ENSG00000165092,69.34039,3.0857022,0.0,0.0,8 hours post infection
ENSG00000196975,68.95858,2.0830178,0.0,0.0,8 hours post infection
ENSG00000160209,68.59355,1.7978231,0.0,0.0,8 hours post infection
ENSG00000198959,67.99218,2.2425108,0.0,0.0,8 hours post infection
ENSG00000177697,67.5505,1.4218341,0.0,0.0,8 hours post infection
ENSG00000214063,67.377594,1.6821184,0.0,0.0,8 hours post infection
ENSG00000133131,67.34986,2.307904,0.0,0.0,8 hours post infection
ENSG00000108602,67.13926,2.6253123,0.0,0.0,8 hours post infection
ENSG00000146477,66.20206,2.162449,0.0,0.0,8 hours post infection
ENSG00000159176,66.10249,1.9212432,0.0,0.0,8 hours post infection
ENSG00000182718,65.55162,1.403171,0.0,0.0,8 hours post infection
ENSG00000008394,64.57084,1.9276197,0.0,0.0,8 hours post infection
ENSG00000214803,64.05453,2.1943896,0.0,0.0,8 hours post infection
ENSG00000120211,63.716705,2.2485635,0.0,0.0,8 hours post infection
ENSG00000164983,63.7117,1.768188,0.0,0.0,8 hours post infection
ENSG00000087086,63.45558,1.6194558,0.0,0.0,8 hours post infection
ENSG00000105825,63.42262,2.0101547,0.0,0.0,8 hours post infection
ENSG00000099341,63.351982,1.2290993,0.0,0.0,8 hours post infection
ENSG00000124225,63.131683,2.0615103,0.0,0.0,8 hours post infection
ENSG00000253368,62.468964,1.8600485,0.0,0.0,8 hours post infection
ENSG00000154277,62.34387,1.8280356,0.0,0.0,8 hours post infection
ENSG00000023839,62.14425,1.909145,0.0,0.0,8 hours post infection
ENSG00000177156,61.96245,1.476282,0.0,0.0,8 hours post infection
ENSG00000106541,61.95705,2.475311,0.0,0.0,8 hours post infection
ENSG00000164136,61.947952,1.9314082,0.0,0.0,8 hours post infection
ENSG00000140416,61.871407,1.747896,0.0,0.0,8 hours post infection
ENSG00000181019,61.776505,1.5838107,0.0,0.0,8 hours post infection
ENSG00000129562,61.741383,1.1600019,0.0,0.0,8 hours post infection
ENSG00000144063,61.676743,1.7642038,0.0,0.0,8 hours post infection
ENSG00000180530,61.43799,1.6361021,0.0,0.0,8 hours post infection
ENSG00000233493,61.267723,1.7617317,0.0,0.0,8 hours post infection
ENSG00000004059,61.079582,1.6381811,0.0,0.0,8 hours post infection
ENSG00000084207,60.868824,0.96314096,0.0,0.0,8 hours post infection
ENSG00000160211,60.616837,1.6836675,0.0,0.0,8 hours post infection
ENSG00000105854,59.876167,1.3690411,0.0,0.0,8 hours post infection
ENSG00000069869,59.837902,1.7680844,0.0,0.0,8 hours post infection
ENSG00000146674,59.713394,2.024651,0.0,0.0,8 hours post infection
ENSG00000214026,59.550972,1.4553492,0.0,0.0,8 hours post infection
ENSG00000256802,59.290535,1.7686118,0.0,0.0,8 hours post infection
ENSG00000110651,59.265793,1.6091863,0.0,0.0,8 hours post infection
ENSG00000054148,59.255054,1.140123,0.0,0.0,8 hours post infection
ENSG00000141753,59.073612,2.0333192,0.0,0.0,8 hours post infection
ENSG00000184009,58.94188,0.84759563,0.0,0.0,8 hours post infection
