names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000176406,197.6679,7.6273575,0.0,0.0,acme hs dissociation
ENSG00000204442,196.88304,7.8685822,0.0,0.0,acme hs dissociation
ENSG00000224078,194.43202,5.9316325,0.0,0.0,acme hs dissociation
ENSG00000154162,193.26303,7.534853,0.0,0.0,acme hs dissociation
ENSG00000152208,193.06523,9.130741,0.0,0.0,acme hs dissociation
ENSG00000186094,192.8258,10.224867,0.0,0.0,acme hs dissociation
ENSG00000157168,192.63574,4.8361807,0.0,0.0,acme hs dissociation
ENSG00000179915,192.59885,11.03336,0.0,0.0,acme hs dissociation
ENSG00000185565,191.13869,6.959414,0.0,0.0,acme hs dissociation
ENSG00000169760,189.2142,6.6397533,0.0,0.0,acme hs dissociation
ENSG00000230590,188.85207,3.6579301,0.0,0.0,acme hs dissociation
ENSG00000090905,187.21158,4.6978836,0.0,0.0,acme hs dissociation
ENSG00000175161,186.53015,6.7275543,0.0,0.0,acme hs dissociation
ENSG00000150672,184.62561,7.1308613,0.0,0.0,acme hs dissociation
ENSG00000156687,184.13461,6.82785,0.0,0.0,acme hs dissociation
ENSG00000251562,183.66307,2.115959,0.0,0.0,acme hs dissociation
ENSG00000176204,180.30125,9.906748,0.0,0.0,acme hs dissociation
ENSG00000169855,178.5474,5.538734,0.0,0.0,acme hs dissociation
ENSG00000132932,177.54974,9.092641,0.0,0.0,acme hs dissociation
ENSG00000113448,175.67957,3.2846956,0.0,0.0,acme hs dissociation
ENSG00000149294,174.71484,9.315299,0.0,0.0,acme hs dissociation
ENSG00000181722,174.48358,3.4213307,0.0,0.0,acme hs dissociation
ENSG00000165995,173.54404,7.7554026,0.0,0.0,acme hs dissociation
ENSG00000158321,173.03236,5.4556446,0.0,0.0,acme hs dissociation
ENSG00000185736,171.59616,7.486425,0.0,0.0,acme hs dissociation
ENSG00000230876,170.88245,3.2472951,0.0,0.0,acme hs dissociation
ENSG00000170579,169.52547,6.4575276,0.0,0.0,acme hs dissociation
ENSG00000155093,167.51163,8.471172,0.0,0.0,acme hs dissociation
ENSG00000133958,167.33553,8.242062,0.0,0.0,acme hs dissociation
ENSG00000187391,167.30887,5.893465,0.0,0.0,acme hs dissociation
ENSG00000187672,166.81493,9.560659,0.0,0.0,acme hs dissociation
ENSG00000145087,166.63162,9.967689,0.0,0.0,acme hs dissociation
ENSG00000069667,165.05801,5.885459,0.0,0.0,acme hs dissociation
ENSG00000153956,163.11,4.690433,0.0,0.0,acme hs dissociation
ENSG00000109339,162.53845,6.7456555,0.0,0.0,acme hs dissociation
ENSG00000155974,161.8943,4.766983,0.0,0.0,acme hs dissociation
ENSG00000107518,161.50426,7.3298984,0.0,0.0,acme hs dissociation
ENSG00000137766,160.0737,11.1808815,0.0,0.0,acme hs dissociation
ENSG00000077264,159.2553,8.78448,0.0,0.0,acme hs dissociation
ENSG00000177570,158.55194,6.207393,0.0,0.0,acme hs dissociation
ENSG00000171988,157.31886,3.004195,0.0,0.0,acme hs dissociation
ENSG00000169946,155.02939,6.515952,0.0,0.0,acme hs dissociation
ENSG00000082805,153.36368,3.3755922,0.0,0.0,acme hs dissociation
ENSG00000150471,153.32716,6.2431946,0.0,0.0,acme hs dissociation
ENSG00000151150,152.54994,5.149056,0.0,0.0,acme hs dissociation
ENSG00000170396,152.385,6.46853,0.0,0.0,acme hs dissociation
ENSG00000172264,152.34695,4.473062,0.0,0.0,acme hs dissociation
ENSG00000155816,151.11607,6.1081944,0.0,0.0,acme hs dissociation
ENSG00000151067,150.79349,8.819292,0.0,0.0,acme hs dissociation
ENSG00000152578,148.92911,10.2702465,0.0,0.0,acme hs dissociation
