names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000166710,113.41958,4.528734,0.0,0.0,bexmarilimab
ENSG00000234745,105.33442,4.7777467,0.0,0.0,bexmarilimab
ENSG00000204525,104.15591,5.118869,0.0,0.0,bexmarilimab
ENSG00000090382,103.544304,10.060707,0.0,0.0,bexmarilimab
ENSG00000230876,102.19606,3.3352635,0.0,0.0,bexmarilimab
ENSG00000206503,101.82742,4.0627604,0.0,0.0,bexmarilimab
ENSG00000100985,101.40356,9.240304,0.0,0.0,bexmarilimab
ENSG00000081237,98.0835,13.926693,0.0,0.0,bexmarilimab
ENSG00000130203,97.09954,6.00138,0.0,0.0,bexmarilimab
ENSG00000136167,96.97787,8.596786,0.0,0.0,bexmarilimab
ENSG00000107099,93.43421,9.053255,0.0,0.0,bexmarilimab
ENSG00000158869,93.05451,9.489531,0.0,0.0,bexmarilimab
ENSG00000163220,92.75512,9.05463,0.0,0.0,bexmarilimab
ENSG00000011600,92.4475,15.010107,0.0,0.0,bexmarilimab
ENSG00000185811,89.47496,13.036589,0.0,0.0,bexmarilimab
ENSG00000269028,89.38525,5.3771396,0.0,0.0,bexmarilimab
ENSG00000048740,89.20782,6.5077925,0.0,0.0,bexmarilimab
ENSG00000122862,89.0114,4.100172,0.0,0.0,bexmarilimab
ENSG00000196126,88.53371,7.091274,0.0,0.0,bexmarilimab
ENSG00000075884,88.27256,7.189543,0.0,0.0,bexmarilimab
ENSG00000162511,87.892426,9.796579,0.0,0.0,bexmarilimab
ENSG00000143119,87.78087,11.32817,0.0,0.0,bexmarilimab
ENSG00000204592,87.20111,3.7404754,0.0,0.0,bexmarilimab
ENSG00000134516,87.20042,7.9256053,0.0,0.0,bexmarilimab
ENSG00000216490,87.18102,5.4881434,0.0,0.0,bexmarilimab
ENSG00000160255,86.32653,7.3858557,0.0,0.0,bexmarilimab
ENSG00000108691,85.619835,5.9359665,0.0,0.0,bexmarilimab
ENSG00000065413,85.33573,5.1847463,0.0,0.0,bexmarilimab
ENSG00000111348,85.17031,5.3447895,0.0,0.0,bexmarilimab
ENSG00000025708,84.85894,5.123901,0.0,0.0,bexmarilimab
ENSG00000133048,84.37129,9.978198,0.0,0.0,bexmarilimab
ENSG00000067066,84.3667,3.8769107,0.0,0.0,bexmarilimab
ENSG00000133106,84.25458,8.960313,0.0,0.0,bexmarilimab
ENSG00000117091,84.140114,15.661235,0.0,0.0,bexmarilimab
ENSG00000204642,83.98839,6.032506,0.0,0.0,bexmarilimab
ENSG00000043462,83.410866,9.43388,0.0,0.0,bexmarilimab
ENSG00000115935,83.23578,3.9499295,0.0,0.0,bexmarilimab
ENSG00000077420,83.14683,5.9169707,0.0,0.0,bexmarilimab
ENSG00000171310,82.940704,3.6934743,0.0,0.0,bexmarilimab
ENSG00000130592,82.822266,8.67666,0.0,0.0,bexmarilimab
ENSG00000157601,82.695,6.7941036,0.0,0.0,bexmarilimab
ENSG00000143546,82.400826,12.516457,0.0,0.0,bexmarilimab
ENSG00000142347,81.91745,5.981061,0.0,0.0,bexmarilimab
ENSG00000047365,81.75309,5.936584,0.0,0.0,bexmarilimab
ENSG00000115415,81.480644,3.782644,0.0,0.0,bexmarilimab
ENSG00000115165,81.313644,8.8301935,0.0,0.0,bexmarilimab
ENSG00000142669,81.31127,2.4697478,0.0,0.0,bexmarilimab
ENSG00000163131,81.30748,5.404373,0.0,0.0,bexmarilimab
ENSG00000132530,81.06917,7.341465,0.0,0.0,bexmarilimab
ENSG00000019582,81.00561,3.4748147,0.0,0.0,bexmarilimab
