names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000230876,119.84414,3.4228182,0.0,0.0,glyconanomaterials for combati
ENSG00000080824,113.31223,2.5316854,0.0,0.0,glyconanomaterials for combati
ENSG00000196262,112.73167,1.5722858,0.0,0.0,glyconanomaterials for combati
ENSG00000096384,109.6765,1.8332005,0.0,0.0,glyconanomaterials for combati
ENSG00000115524,108.503784,2.7426147,0.0,0.0,glyconanomaterials for combati
ENSG00000197747,105.990715,1.9257222,0.0,0.0,glyconanomaterials for combati
ENSG00000075624,105.85683,1.7982619,0.0,0.0,glyconanomaterials for combati
ENSG00000079246,104.583885,2.0125437,0.0,0.0,glyconanomaterials for combati
ENSG00000160789,104.194695,2.1916606,0.0,0.0,glyconanomaterials for combati
ENSG00000166710,103.84938,2.1337376,0.0,0.0,glyconanomaterials for combati
ENSG00000044574,102.32129,2.422803,0.0,0.0,glyconanomaterials for combati
ENSG00000008952,102.24436,2.0788944,0.0,0.0,glyconanomaterials for combati
ENSG00000158710,101.75315,1.9051062,0.0,0.0,glyconanomaterials for combati
ENSG00000122545,100.33943,2.1206937,0.0,0.0,glyconanomaterials for combati
ENSG00000198668,99.5434,1.7992432,0.0,0.0,glyconanomaterials for combati
ENSG00000108654,98.16341,1.784155,0.0,0.0,glyconanomaterials for combati
ENSG00000138385,97.67656,2.285771,0.0,0.0,glyconanomaterials for combati
ENSG00000166598,97.56736,1.8708382,0.0,0.0,glyconanomaterials for combati
ENSG00000164111,97.46664,2.209075,0.0,0.0,glyconanomaterials for combati
ENSG00000115053,97.36723,1.816688,0.0,0.0,glyconanomaterials for combati
ENSG00000125968,97.29108,2.5796351,0.0,0.0,glyconanomaterials for combati
ENSG00000127824,96.90445,3.703319,0.0,0.0,glyconanomaterials for combati
ENSG00000118363,96.77025,2.0359986,0.0,0.0,glyconanomaterials for combati
ENSG00000116560,96.405334,2.2478888,0.0,0.0,glyconanomaterials for combati
ENSG00000085063,96.343285,2.3070104,0.0,0.0,glyconanomaterials for combati
ENSG00000150753,96.3009,1.9705069,0.0,0.0,glyconanomaterials for combati
ENSG00000082153,96.291725,2.0294936,0.0,0.0,glyconanomaterials for combati
ENSG00000196504,96.27396,1.9279885,0.0,0.0,glyconanomaterials for combati
ENSG00000158417,96.00806,1.7856345,0.0,0.0,glyconanomaterials for combati
ENSG00000137710,95.46474,1.9713502,0.0,0.0,glyconanomaterials for combati
ENSG00000122566,95.13836,1.4985061,0.0,0.0,glyconanomaterials for combati
ENSG00000084234,94.77408,2.075178,0.0,0.0,glyconanomaterials for combati
ENSG00000099783,92.96444,1.8985646,0.0,0.0,glyconanomaterials for combati
ENSG00000117523,92.842766,1.5986778,0.0,0.0,glyconanomaterials for combati
ENSG00000075420,92.42072,2.0713472,0.0,0.0,glyconanomaterials for combati
ENSG00000129116,92.244026,2.6536903,0.0,0.0,glyconanomaterials for combati
ENSG00000135829,92.158104,2.1132157,0.0,0.0,glyconanomaterials for combati
ENSG00000196950,91.82205,2.9839983,0.0,0.0,glyconanomaterials for combati
ENSG00000126777,91.79167,1.5633012,0.0,0.0,glyconanomaterials for combati
ENSG00000167004,91.78136,1.8537631,0.0,0.0,glyconanomaterials for combati
ENSG00000197943,91.67001,4.5354495,0.0,0.0,glyconanomaterials for combati
ENSG00000161547,91.435875,1.7677264,0.0,0.0,glyconanomaterials for combati
ENSG00000138668,91.412865,1.8806483,0.0,0.0,glyconanomaterials for combati
ENSG00000128595,91.27538,1.9147745,0.0,0.0,glyconanomaterials for combati
ENSG00000144381,90.8979,1.4997424,0.0,0.0,glyconanomaterials for combati
ENSG00000131051,90.876015,1.4303854,0.0,0.0,glyconanomaterials for combati
ENSG00000182718,90.860115,1.761074,0.0,0.0,glyconanomaterials for combati
ENSG00000206503,90.82381,2.1586218,0.0,0.0,glyconanomaterials for combati
ENSG00000055044,90.748665,2.1699297,0.0,0.0,glyconanomaterials for combati
ENSG00000109861,90.593575,2.4186888,0.0,0.0,glyconanomaterials for combati
