names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000083067,127.31865,9.249004,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000006042,124.19853,7.4924035,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000069667,123.91341,5.175693,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000048740,123.88778,6.6720047,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000114115,123.04864,9.52533,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000099622,122.18703,2.8916903,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000107317,122.18363,11.129287,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000150625,121.90778,7.5522118,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000117394,121.5626,4.4609146,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000134986,121.532486,4.57648,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000185532,121.26257,5.8088284,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000149212,119.92653,6.281698,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000102409,119.610954,6.126528,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000269821,119.225044,4.943049,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000118271,118.416916,12.570126,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000134769,118.38671,5.473347,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000130203,118.08128,6.0430565,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000184613,116.78504,7.6814504,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000116117,116.60461,4.6363397,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000100650,116.524185,2.8693094,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000136156,116.28608,2.6218152,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000185664,116.12017,6.5252686,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000248874,115.707596,6.165378,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000183722,115.3571,6.165644,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000158270,115.16222,7.0588818,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000169862,114.98815,6.5404186,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000169851,114.84016,5.1965013,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000133134,114.225716,4.8010497,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000130413,114.09842,5.928344,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000145687,113.001915,3.9237354,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000100234,112.78632,4.892336,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000141447,112.73482,3.5292983,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000185345,112.69906,4.511296,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000182670,112.00233,2.1653657,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000224078,111.54716,2.7527926,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000158321,111.42242,3.6285465,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000115461,110.63642,5.583179,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000162493,110.33861,11.063536,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000169439,109.903564,5.5665917,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000129757,109.41376,6.900277,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000152661,109.15393,4.6108437,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000132386,108.87628,7.3249235,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000107165,108.67711,8.420755,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000092068,108.52064,7.56039,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000102572,108.14782,2.9586377,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000135821,107.37865,3.9015887,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000182636,107.03158,5.335144,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000168916,106.86516,4.2165055,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000170153,106.76969,5.38161,0.0,0.0,in vitro culture of ipsc-rpe
ENSG00000138083,106.61631,8.787618,0.0,0.0,in vitro culture of ipsc-rpe
