names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000205426,111.106895,3.189018,0.0,0.0,infected with h1n1 (a/californ
ENSG00000280441,104.06575,1.8318346,0.0,0.0,infected with h1n1 (a/californ
ENSG00000170421,103.827,2.0019922,0.0,0.0,infected with h1n1 (a/californ
ENSG00000196139,103.584305,2.8176622,0.0,0.0,infected with h1n1 (a/californ
ENSG00000111057,103.05246,2.0274992,0.0,0.0,infected with h1n1 (a/californ
ENSG00000165092,97.788086,2.8224082,0.0,0.0,infected with h1n1 (a/californ
ENSG00000008394,97.50274,1.8395526,0.0,0.0,infected with h1n1 (a/californ
ENSG00000198074,96.28723,3.3070946,0.0,0.0,infected with h1n1 (a/californ
ENSG00000160209,94.78135,1.5358434,0.0,0.0,infected with h1n1 (a/californ
ENSG00000108602,94.56101,2.2148063,0.0,0.0,infected with h1n1 (a/californ
ENSG00000168003,94.55356,1.6788139,0.0,0.0,infected with h1n1 (a/californ
ENSG00000151632,92.998825,2.7593648,0.0,0.0,infected with h1n1 (a/californ
ENSG00000090013,92.949234,1.5819731,0.0,0.0,infected with h1n1 (a/californ
ENSG00000135047,92.622215,1.693945,0.0,0.0,infected with h1n1 (a/californ
ENSG00000181019,92.29949,1.4812647,0.0,0.0,infected with h1n1 (a/californ
ENSG00000135480,91.99481,2.0934153,0.0,0.0,infected with h1n1 (a/californ
ENSG00000188483,90.90869,1.6428918,0.0,0.0,infected with h1n1 (a/californ
ENSG00000117450,90.06018,1.1929071,0.0,0.0,infected with h1n1 (a/californ
ENSG00000124225,89.88143,1.7932754,0.0,0.0,infected with h1n1 (a/californ
ENSG00000111275,89.73537,1.6959856,0.0,0.0,infected with h1n1 (a/californ
ENSG00000105825,89.59021,1.6981878,0.0,0.0,infected with h1n1 (a/californ
ENSG00000141753,89.14435,1.9050364,0.0,0.0,infected with h1n1 (a/californ
ENSG00000198899,89.1101,1.3142395,0.0,0.0,infected with h1n1 (a/californ
ENSG00000176153,88.54994,2.025345,0.0,0.0,infected with h1n1 (a/californ
ENSG00000146477,88.43248,1.7451463,0.0,0.0,infected with h1n1 (a/californ
ENSG00000214063,87.48165,1.3732342,0.0,0.0,infected with h1n1 (a/californ
ENSG00000160211,87.193886,1.5179855,0.0,0.0,infected with h1n1 (a/californ
ENSG00000177156,86.74188,1.3076108,0.0,0.0,infected with h1n1 (a/californ
ENSG00000198938,85.96026,1.1718569,0.0,0.0,infected with h1n1 (a/californ
ENSG00000087086,85.49177,1.3608924,0.0,0.0,infected with h1n1 (a/californ
ENSG00000106541,85.45565,2.0706193,0.0,0.0,infected with h1n1 (a/californ
ENSG00000136810,85.4323,1.0663272,0.0,0.0,infected with h1n1 (a/californ
ENSG00000135046,85.35414,1.2466822,0.0,0.0,infected with h1n1 (a/californ
ENSG00000275216,85.24698,1.4595242,0.0,0.0,infected with h1n1 (a/californ
ENSG00000120885,85.194244,1.4782404,0.0,0.0,infected with h1n1 (a/californ
ENSG00000085662,85.124664,1.9390429,0.0,0.0,infected with h1n1 (a/californ
ENSG00000065809,85.02847,1.5374469,0.0,0.0,infected with h1n1 (a/californ
ENSG00000110651,85.00178,1.4589484,0.0,0.0,infected with h1n1 (a/californ
ENSG00000233493,84.94903,1.5045494,0.0,0.0,infected with h1n1 (a/californ
ENSG00000154277,84.861885,1.5961772,0.0,0.0,infected with h1n1 (a/californ
ENSG00000230876,84.71914,2.1817508,0.0,0.0,infected with h1n1 (a/californ
ENSG00000019186,84.61989,1.7489618,0.0,0.0,infected with h1n1 (a/californ
ENSG00000088826,84.58287,1.4313484,0.0,0.0,infected with h1n1 (a/californ
ENSG00000106853,84.11321,1.8080956,0.0,0.0,infected with h1n1 (a/californ
ENSG00000196975,83.90622,1.5517431,0.0,0.0,infected with h1n1 (a/californ
ENSG00000151136,83.661476,1.5993419,0.0,0.0,infected with h1n1 (a/californ
ENSG00000198804,83.21602,1.1965604,0.0,0.0,infected with h1n1 (a/californ
ENSG00000116711,83.08149,1.5469787,0.0,0.0,infected with h1n1 (a/californ
ENSG00000004059,81.94884,1.3846177,0.0,0.0,infected with h1n1 (a/californ
ENSG00000089127,81.87628,1.9713125,0.0,0.0,infected with h1n1 (a/californ
