names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000133112,122.48418,0.99417835,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000230876,121.003395,2.5927622,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000008394,115.943855,1.9811319,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000067167,111.72796,1.7876571,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000115919,110.87771,2.153895,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000105193,109.436745,1.0156405,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000149380,109.28335,2.1179948,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000142534,107.56857,0.868869,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000177410,106.05453,1.2068723,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000150782,105.419266,1.6651758,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000175061,104.89209,0.9160582,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000124225,104.54527,1.8493551,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000185088,103.77875,1.2717458,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000137819,103.48769,1.705585,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000140612,102.449646,0.94509155,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000275216,102.09787,1.633529,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000122870,101.7833,1.8718708,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000116016,101.13947,1.6204793,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000276850,100.67671,1.7845368,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000272398,100.27256,1.8795905,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000069869,100.24629,1.70619,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000198074,99.65399,3.1936357,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000113448,99.5808,2.0623622,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000196139,99.166435,2.6316142,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000198732,99.00744,1.7287023,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000114942,98.67897,0.91397035,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000105825,97.66567,1.704097,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000136810,97.533676,1.1084841,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000141753,97.39133,1.8487105,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000176153,97.36425,1.98351,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000165092,97.22985,2.6297407,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000280441,96.122505,1.6218691,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000136603,95.895676,1.3992486,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000088826,95.87407,1.4355294,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000213626,95.23047,2.0690217,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000164330,95.18036,2.2939785,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000187134,94.49751,2.663761,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000086062,94.2877,1.3549395,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000111700,93.70928,1.5504893,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000085662,93.50168,1.9111769,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000151632,93.45286,2.6268938,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000196975,93.29918,1.5119172,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000106853,93.17782,1.7918391,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000175115,93.12392,1.3588976,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000100129,92.40233,1.1284523,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000154277,92.06594,1.5829796,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000019186,91.970146,1.6896955,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000272168,91.88787,1.7628475,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000064042,91.73204,1.4585607,0.0,0.0,infected with h3n2 (a/perth/16
ENSG00000120129,91.43617,1.5382028,0.0,0.0,infected with h3n2 (a/perth/16
