names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000230876,138.82028,3.0901344,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000057019,129.84453,2.5200963,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000142227,126.51925,2.6016133,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000157168,125.26266,3.4342752,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000156113,119.01742,3.453093,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000130402,117.332535,1.8568105,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000105738,116.67536,2.4676695,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000182718,115.15735,1.691149,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000105974,112.57336,2.4459338,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000154229,112.25611,2.2924533,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000158321,112.22508,3.2722654,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000167641,112.124016,4.1060157,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000135480,111.34955,2.61812,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000067225,111.10003,1.1293405,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000164120,110.72755,3.2908282,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000125868,108.65016,1.1819576,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000087086,107.919525,1.9455363,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000106366,106.32806,3.767096,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000150093,105.687836,1.8014748,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000120885,105.62905,2.389813,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000140416,105.58108,2.319696,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000157483,105.19625,2.0185683,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000166949,104.25899,2.2008443,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000101361,103.08225,1.884553,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000164687,102.95532,2.3966274,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000213145,102.66847,2.5001488,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000228253,102.423996,2.84401,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000138119,102.21794,1.8617781,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000153317,101.43658,1.7984307,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000131711,100.504745,2.1799452,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000138061,100.05505,4.287235,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000198363,99.613434,1.7421237,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000184347,99.01746,3.3113322,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000160211,98.12229,1.9164385,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000041353,97.37843,2.702025,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000124225,96.63624,2.1235807,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000148344,96.53812,2.9306107,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000105185,96.40606,1.4604824,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000133131,96.05494,2.8570986,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000006125,95.73019,1.6759136,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000041357,95.65274,1.5332743,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000126247,95.64505,1.4399482,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000143933,95.07713,1.314908,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000080824,93.487755,1.2666328,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000092199,93.367935,1.0371331,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000146555,93.15559,4.103129,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000053747,92.882164,3.3119576,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000187720,92.64878,2.1026974,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000185088,92.60276,1.5064589,0.0,0.0,irradiated a549 cells (6 gy γ-
ENSG00000136448,92.10301,1.6005801,0.0,0.0,irradiated a549 cells (6 gy γ-
