names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000230876,157.9608,3.2814324,0.0,0.0,irradiation (ir 6h)
ENSG00000142227,147.3799,2.6818395,0.0,0.0,irradiation (ir 6h)
ENSG00000213145,146.70123,3.3860536,0.0,0.0,irradiation (ir 6h)
ENSG00000057019,146.2768,2.531465,0.0,0.0,irradiation (ir 6h)
ENSG00000157168,143.08107,3.5120068,0.0,0.0,irradiation (ir 6h)
ENSG00000120885,142.74913,3.0374227,0.0,0.0,irradiation (ir 6h)
ENSG00000105738,142.19234,2.707898,0.0,0.0,irradiation (ir 6h)
ENSG00000067225,140.80287,1.4570194,0.0,0.0,irradiation (ir 6h)
ENSG00000160211,138.10704,2.548258,0.0,0.0,irradiation (ir 6h)
ENSG00000161011,137.52602,2.145696,0.0,0.0,irradiation (ir 6h)
ENSG00000087086,135.1992,2.2501123,0.0,0.0,irradiation (ir 6h)
ENSG00000166949,135.12898,2.6579247,0.0,0.0,irradiation (ir 6h)
ENSG00000126247,134.82153,2.0386243,0.0,0.0,irradiation (ir 6h)
ENSG00000130402,133.5032,1.9219524,0.0,0.0,irradiation (ir 6h)
ENSG00000187720,132.41092,2.8428867,0.0,0.0,irradiation (ir 6h)
ENSG00000158321,132.28586,3.424639,0.0,0.0,irradiation (ir 6h)
ENSG00000156113,131.84435,3.3658366,0.0,0.0,irradiation (ir 6h)
ENSG00000140859,130.76701,2.4917629,0.0,0.0,irradiation (ir 6h)
ENSG00000116833,127.764435,3.697867,0.0,0.0,irradiation (ir 6h)
ENSG00000138061,127.37424,4.6894774,0.0,0.0,irradiation (ir 6h)
ENSG00000164120,126.49154,3.2886593,0.0,0.0,irradiation (ir 6h)
ENSG00000138119,125.432976,2.069046,0.0,0.0,irradiation (ir 6h)
ENSG00000182718,124.92214,1.6729783,0.0,0.0,irradiation (ir 6h)
ENSG00000136205,123.26675,2.2867434,0.0,0.0,irradiation (ir 6h)
ENSG00000135480,123.0772,2.54365,0.0,0.0,irradiation (ir 6h)
ENSG00000198727,122.80607,1.3834362,0.0,0.0,irradiation (ir 6h)
ENSG00000228253,122.34239,3.018598,0.0,0.0,irradiation (ir 6h)
ENSG00000101871,122.323944,2.4284232,0.0,0.0,irradiation (ir 6h)
ENSG00000167641,121.667725,3.9014049,0.0,0.0,irradiation (ir 6h)
ENSG00000087088,121.53309,1.8992457,0.0,0.0,irradiation (ir 6h)
ENSG00000268621,121.391136,3.1995776,0.0,0.0,irradiation (ir 6h)
ENSG00000154229,121.12213,2.0850055,0.0,0.0,irradiation (ir 6h)
ENSG00000157483,120.89427,2.058001,0.0,0.0,irradiation (ir 6h)
ENSG00000185088,120.63426,1.7118149,0.0,0.0,irradiation (ir 6h)
ENSG00000198899,120.26133,1.5540982,0.0,0.0,irradiation (ir 6h)
ENSG00000146555,119.90371,4.7411885,0.0,0.0,irradiation (ir 6h)
ENSG00000150093,118.65242,1.831058,0.0,0.0,irradiation (ir 6h)
ENSG00000053747,117.96213,3.8402908,0.0,0.0,irradiation (ir 6h)
ENSG00000167996,117.8748,1.4994136,0.0,0.0,irradiation (ir 6h)
ENSG00000153317,115.98793,1.7973212,0.0,0.0,irradiation (ir 6h)
ENSG00000198712,115.71488,1.1997961,0.0,0.0,irradiation (ir 6h)
ENSG00000196154,114.35053,2.1071692,0.0,0.0,irradiation (ir 6h)
ENSG00000108602,114.21075,2.7699397,0.0,0.0,irradiation (ir 6h)
ENSG00000090013,113.26032,1.9553138,0.0,0.0,irradiation (ir 6h)
ENSG00000169783,112.52467,4.789537,0.0,0.0,irradiation (ir 6h)
ENSG00000183780,112.29115,2.5545828,0.0,0.0,irradiation (ir 6h)
ENSG00000067057,111.05802,2.199752,0.0,0.0,irradiation (ir 6h)
ENSG00000005884,110.30248,1.8852732,0.0,0.0,irradiation (ir 6h)
ENSG00000149485,108.46433,1.9506698,0.0,0.0,irradiation (ir 6h)
ENSG00000122870,108.17776,2.2644374,0.0,0.0,irradiation (ir 6h)
