names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000142227,154.31387,2.9101706,0.0,0.0,irradiation
ENSG00000067225,149.51085,1.6110737,0.0,0.0,irradiation
ENSG00000213145,148.82745,3.3888571,0.0,0.0,irradiation
ENSG00000138061,148.10214,5.32942,0.0,0.0,irradiation
ENSG00000105738,144.01791,2.6657956,0.0,0.0,irradiation
ENSG00000126247,142.79224,2.1386654,0.0,0.0,irradiation
ENSG00000161011,141.7374,2.1724248,0.0,0.0,irradiation
ENSG00000057019,140.52472,2.2133825,0.0,0.0,irradiation
ENSG00000087086,139.98026,2.2647355,0.0,0.0,irradiation
ENSG00000124762,139.70482,3.9858382,0.0,0.0,irradiation
ENSG00000160211,138.65132,2.4903998,0.0,0.0,irradiation
ENSG00000120885,137.36472,2.7789445,0.0,0.0,irradiation
ENSG00000167641,136.21661,4.274761,0.0,0.0,irradiation
ENSG00000230876,134.74138,2.7076464,0.0,0.0,irradiation
ENSG00000130402,134.55098,1.8796839,0.0,0.0,irradiation
ENSG00000182718,133.35077,1.760168,0.0,0.0,irradiation
ENSG00000157168,131.81871,2.9770548,0.0,0.0,irradiation
ENSG00000154229,130.71283,2.253166,0.0,0.0,irradiation
ENSG00000130513,130.0811,2.8581755,0.0,0.0,irradiation
ENSG00000135679,128.02345,2.8031633,0.0,0.0,irradiation
ENSG00000167996,127.583694,1.593676,0.0,0.0,irradiation
ENSG00000156113,126.33239,3.1325061,0.0,0.0,irradiation
ENSG00000198899,125.17772,1.6069971,0.0,0.0,irradiation
ENSG00000166949,124.178925,2.2900054,0.0,0.0,irradiation
ENSG00000164120,122.987885,3.073313,0.0,0.0,irradiation
ENSG00000198727,122.85276,1.3765326,0.0,0.0,irradiation
ENSG00000198712,122.83359,1.2990967,0.0,0.0,irradiation
ENSG00000158321,122.783646,3.0846562,0.0,0.0,irradiation
ENSG00000087088,122.51906,1.8395996,0.0,0.0,irradiation
ENSG00000196154,121.58526,2.2045062,0.0,0.0,irradiation
ENSG00000138119,120.97638,1.9260243,0.0,0.0,irradiation
ENSG00000268621,120.46417,3.0606577,0.0,0.0,irradiation
ENSG00000187720,119.9632,2.4082346,0.0,0.0,irradiation
ENSG00000135480,119.61729,2.3993385,0.0,0.0,irradiation
ENSG00000160789,119.1037,1.6007446,0.0,0.0,irradiation
ENSG00000053747,118.91092,3.734272,0.0,0.0,irradiation
ENSG00000116833,118.84441,3.3336952,0.0,0.0,irradiation
ENSG00000164687,117.84059,2.2029724,0.0,0.0,irradiation
ENSG00000140859,117.6415,2.1139069,0.0,0.0,irradiation
ENSG00000185088,116.86552,1.6218077,0.0,0.0,irradiation
ENSG00000005884,116.76732,1.959643,0.0,0.0,irradiation
ENSG00000198938,116.7252,1.3202617,0.0,0.0,irradiation
ENSG00000146555,116.2863,4.5475717,0.0,0.0,irradiation
ENSG00000140443,116.20085,1.8669688,0.0,0.0,irradiation
ENSG00000125868,115.55856,1.0683658,0.0,0.0,irradiation
ENSG00000157483,115.315346,1.8895496,0.0,0.0,irradiation
ENSG00000067057,115.02592,2.2051713,0.0,0.0,irradiation
ENSG00000090013,114.57032,1.9398807,0.0,0.0,irradiation
ENSG00000170315,114.334435,1.2401366,0.0,0.0,irradiation
ENSG00000105185,113.80745,1.4593759,0.0,0.0,irradiation
