names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000231079,115.09816,8.74116,0.0,0.0,lentiviral pool for expression
ENSG00000269028,112.489975,5.689268,0.0,0.0,lentiviral pool for expression
ENSG00000135480,108.42848,3.95418,0.0,0.0,lentiviral pool for expression
ENSG00000228716,102.81878,2.4353538,0.0,0.0,lentiviral pool for expression
ENSG00000255823,99.62819,5.007958,0.0,0.0,lentiviral pool for expression
ENSG00000087086,99.12664,2.4357975,0.0,0.0,lentiviral pool for expression
ENSG00000230876,98.57024,2.684381,0.0,0.0,lentiviral pool for expression
ENSG00000213145,98.007645,2.9517446,0.0,0.0,lentiviral pool for expression
ENSG00000160211,97.527794,2.4751916,0.0,0.0,lentiviral pool for expression
ENSG00000182718,97.52756,1.9767329,0.0,0.0,lentiviral pool for expression
ENSG00000140416,96.08654,2.7353437,0.0,0.0,lentiviral pool for expression
ENSG00000087088,95.22307,1.9589984,0.0,0.0,lentiviral pool for expression
ENSG00000106366,93.77741,4.396858,0.0,0.0,lentiviral pool for expression
ENSG00000149485,93.75714,2.1590247,0.0,0.0,lentiviral pool for expression
ENSG00000167641,92.37231,3.1694531,0.0,0.0,lentiviral pool for expression
ENSG00000111057,91.94349,2.7353468,0.0,0.0,lentiviral pool for expression
ENSG00000054148,91.769356,1.6793677,0.0,0.0,lentiviral pool for expression
ENSG00000205426,91.525505,3.823677,0.0,0.0,lentiviral pool for expression
ENSG00000115129,89.4304,2.6011045,0.0,0.0,lentiviral pool for expression
ENSG00000126458,89.10249,2.3291636,0.0,0.0,lentiviral pool for expression
ENSG00000130402,89.08283,1.7278713,0.0,0.0,lentiviral pool for expression
ENSG00000157483,88.91087,2.1160383,0.0,0.0,lentiviral pool for expression
ENSG00000170421,88.53614,2.4883587,0.0,0.0,lentiviral pool for expression
ENSG00000127824,88.381165,3.2359486,0.0,0.0,lentiviral pool for expression
ENSG00000099341,88.12273,1.684722,0.0,0.0,lentiviral pool for expression
ENSG00000006534,87.66465,2.3738933,0.0,0.0,lentiviral pool for expression
ENSG00000113645,87.38669,2.4685905,0.0,0.0,lentiviral pool for expression
ENSG00000074047,87.10206,3.2067156,0.0,0.0,lentiviral pool for expression
ENSG00000134824,86.8917,2.2285087,0.0,0.0,lentiviral pool for expression
ENSG00000092841,86.66433,1.4595932,0.0,0.0,lentiviral pool for expression
ENSG00000160209,86.495056,2.0004356,0.0,0.0,lentiviral pool for expression
ENSG00000133131,86.4365,2.8382642,0.0,0.0,lentiviral pool for expression
ENSG00000164120,85.79349,2.6883707,0.0,0.0,lentiviral pool for expression
ENSG00000213465,85.689606,1.626574,0.0,0.0,lentiviral pool for expression
ENSG00000075624,85.52297,1.248845,0.0,0.0,lentiviral pool for expression
ENSG00000105738,85.378,1.8725455,0.0,0.0,lentiviral pool for expression
ENSG00000140859,85.09356,1.911386,0.0,0.0,lentiviral pool for expression
ENSG00000256802,84.99294,2.643156,0.0,0.0,lentiviral pool for expression
ENSG00000150687,84.723274,2.0752165,0.0,0.0,lentiviral pool for expression
ENSG00000198727,84.29345,1.345652,0.0,0.0,lentiviral pool for expression
ENSG00000127920,83.47174,2.0495799,0.0,0.0,lentiviral pool for expression
ENSG00000051523,82.53904,1.5890511,0.0,0.0,lentiviral pool for expression
ENSG00000090013,82.26081,2.0323927,0.0,0.0,lentiviral pool for expression
ENSG00000196154,82.11436,2.1920292,0.0,0.0,lentiviral pool for expression
ENSG00000167552,82.07223,2.2229722,0.0,0.0,lentiviral pool for expression
ENSG00000148450,82.05181,2.1261027,0.0,0.0,lentiviral pool for expression
ENSG00000276850,81.602905,2.4639432,0.0,0.0,lentiviral pool for expression
ENSG00000228253,81.437256,1.9565948,0.0,0.0,lentiviral pool for expression
ENSG00000103145,81.2359,1.7661941,0.0,0.0,lentiviral pool for expression
ENSG00000198938,81.23329,1.3243533,0.0,0.0,lentiviral pool for expression
