names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000135480,79.823166,3.946854,0.0,0.0,ns1 4xstop (mutant)
ENSG00000117450,78.36822,2.3106167,0.0,0.0,ns1 4xstop (mutant)
ENSG00000181019,77.74775,2.692595,0.0,0.0,ns1 4xstop (mutant)
ENSG00000123416,77.19235,2.7382889,0.0,0.0,ns1 4xstop (mutant)
ENSG00000178982,77.01989,1.8456714,0.0,0.0,ns1 4xstop (mutant)
ENSG00000205426,76.90024,4.6132054,0.0,0.0,ns1 4xstop (mutant)
ENSG00000182718,76.85688,2.1769037,0.0,0.0,ns1 4xstop (mutant)
ENSG00000239672,75.875336,2.133995,0.0,0.0,ns1 4xstop (mutant)
ENSG00000142507,75.21562,2.3391743,0.0,0.0,ns1 4xstop (mutant)
ENSG00000143933,74.854836,2.19496,0.0,0.0,ns1 4xstop (mutant)
ENSG00000170315,74.72078,1.9224223,0.0,0.0,ns1 4xstop (mutant)
ENSG00000159199,74.5777,2.1191711,0.0,0.0,ns1 4xstop (mutant)
ENSG00000262814,74.355965,2.5988553,0.0,0.0,ns1 4xstop (mutant)
ENSG00000080824,74.30927,2.2165103,0.0,0.0,ns1 4xstop (mutant)
ENSG00000196262,74.23266,1.2904589,0.0,0.0,ns1 4xstop (mutant)
ENSG00000189159,73.38981,2.398445,0.0,0.0,ns1 4xstop (mutant)
ENSG00000099341,73.38368,2.1779385,0.0,0.0,ns1 4xstop (mutant)
ENSG00000127824,73.33977,4.304952,0.0,0.0,ns1 4xstop (mutant)
ENSG00000160211,72.924286,2.7362611,0.0,0.0,ns1 4xstop (mutant)
ENSG00000167641,72.83656,4.394585,0.0,0.0,ns1 4xstop (mutant)
ENSG00000132341,72.55085,1.6401731,0.0,0.0,ns1 4xstop (mutant)
ENSG00000108518,72.38644,1.5219594,0.0,0.0,ns1 4xstop (mutant)
ENSG00000161960,72.14195,1.4170164,0.0,0.0,ns1 4xstop (mutant)
ENSG00000277791,71.875755,2.029407,0.0,0.0,ns1 4xstop (mutant)
ENSG00000107223,71.798485,1.8663926,0.0,0.0,ns1 4xstop (mutant)
ENSG00000111057,71.65069,2.859661,0.0,0.0,ns1 4xstop (mutant)
ENSG00000142227,71.3895,2.4518151,0.0,0.0,ns1 4xstop (mutant)
ENSG00000167085,70.858635,1.9824313,0.0,0.0,ns1 4xstop (mutant)
ENSG00000105254,70.77367,2.3701606,0.0,0.0,ns1 4xstop (mutant)
ENSG00000197747,70.70452,1.5995861,0.0,0.0,ns1 4xstop (mutant)
ENSG00000128626,70.48801,2.0735362,0.0,0.0,ns1 4xstop (mutant)
ENSG00000188229,70.28552,2.6839488,0.0,0.0,ns1 4xstop (mutant)
ENSG00000213145,70.26279,2.968456,0.0,0.0,ns1 4xstop (mutant)
ENSG00000140416,69.551605,2.7034254,0.0,0.0,ns1 4xstop (mutant)
ENSG00000105202,69.42398,1.8913726,0.0,0.0,ns1 4xstop (mutant)
ENSG00000092841,69.318985,1.5774761,0.0,0.0,ns1 4xstop (mutant)
ENSG00000041357,69.05823,2.077828,0.0,0.0,ns1 4xstop (mutant)
ENSG00000013275,68.56829,2.390595,0.0,0.0,ns1 4xstop (mutant)
ENSG00000164687,68.16898,2.6498144,0.0,0.0,ns1 4xstop (mutant)
ENSG00000135624,67.52948,2.0009806,0.0,0.0,ns1 4xstop (mutant)
ENSG00000125835,67.329025,1.5190935,0.0,0.0,ns1 4xstop (mutant)
ENSG00000170421,67.21555,2.5842135,0.0,0.0,ns1 4xstop (mutant)
ENSG00000172757,67.14584,1.3044213,0.0,0.0,ns1 4xstop (mutant)
ENSG00000185088,67.045296,1.8838698,0.0,0.0,ns1 4xstop (mutant)
ENSG00000067225,66.684875,1.2617115,0.0,0.0,ns1 4xstop (mutant)
ENSG00000111716,66.532394,1.3599764,0.0,0.0,ns1 4xstop (mutant)
ENSG00000125743,66.06697,1.4202696,0.0,0.0,ns1 4xstop (mutant)
ENSG00000130204,65.98438,2.1763067,0.0,0.0,ns1 4xstop (mutant)
ENSG00000196230,65.52945,1.7257476,0.0,0.0,ns1 4xstop (mutant)
ENSG00000087086,65.333374,2.0045068,0.0,0.0,ns1 4xstop (mutant)
