names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000230876,59.387295,3.8721797,0.0,0.0,unsure
ENSG00000080824,53.6702,2.2866359,0.0,0.0,unsure
ENSG00000197943,53.555546,5.763127,0.0,0.0,unsure
ENSG00000075624,52.37817,1.8660657,0.0,0.0,unsure
ENSG00000196262,51.87566,1.410348,0.0,0.0,unsure
ENSG00000160789,50.591724,2.2166672,0.0,0.0,unsure
ENSG00000280441,50.45821,2.6576684,0.0,0.0,unsure
ENSG00000096384,50.14913,1.5826086,0.0,0.0,unsure
ENSG00000197747,48.65322,1.7534703,0.0,0.0,unsure
ENSG00000115524,48.545624,2.525961,0.0,0.0,unsure
ENSG00000044574,48.315952,2.314455,0.0,0.0,unsure
ENSG00000079246,48.23862,1.9057279,0.0,0.0,unsure
ENSG00000166710,48.182728,1.9229056,0.0,0.0,unsure
ENSG00000008952,47.60087,2.0135813,0.0,0.0,unsure
ENSG00000158710,46.830418,1.7709748,0.0,0.0,unsure
ENSG00000115053,46.383236,1.764581,0.0,0.0,unsure
ENSG00000158417,46.00563,1.8269476,0.0,0.0,unsure
ENSG00000231079,45.674896,5.7863903,0.0,0.0,unsure
ENSG00000137710,45.155876,1.9605199,0.0,0.0,unsure
ENSG00000099783,45.153156,1.9456006,0.0,0.0,unsure
ENSG00000198668,45.08587,1.6594503,0.0,0.0,unsure
ENSG00000085063,45.07389,2.2401056,0.0,0.0,unsure
ENSG00000179218,45.050793,1.9902793,0.0,0.0,unsure
ENSG00000084234,44.955696,2.052021,0.0,0.0,unsure
ENSG00000117523,44.944317,1.6472961,0.0,0.0,unsure
ENSG00000166598,44.614883,1.7317721,0.0,0.0,unsure
ENSG00000122545,44.54269,1.9183458,0.0,0.0,unsure
ENSG00000108654,44.46614,1.6214797,0.0,0.0,unsure
ENSG00000164111,44.26629,2.063753,0.0,0.0,unsure
ENSG00000116560,44.236603,2.171054,0.0,0.0,unsure
ENSG00000122566,43.931602,1.3981034,0.0,0.0,unsure
ENSG00000129116,43.92828,2.6998324,0.0,0.0,unsure
ENSG00000075420,43.875446,2.0659568,0.0,0.0,unsure
ENSG00000131051,43.78443,1.4274035,0.0,0.0,unsure
ENSG00000150753,43.68081,1.8448354,0.0,0.0,unsure
ENSG00000125968,43.678516,2.3534608,0.0,0.0,unsure
ENSG00000082153,43.52665,1.905815,0.0,0.0,unsure
ENSG00000153187,43.410984,1.6464787,0.0,0.0,unsure
ENSG00000159140,43.301586,1.7128063,0.0,0.0,unsure
ENSG00000131711,43.10777,2.571925,0.0,0.0,unsure
ENSG00000198363,43.088375,2.475703,0.0,0.0,unsure
ENSG00000197102,43.05508,1.8021497,0.0,0.0,unsure
ENSG00000115306,42.999588,1.8119668,0.0,0.0,unsure
ENSG00000138668,42.957478,1.8424698,0.0,0.0,unsure
ENSG00000196504,42.84494,1.7930892,0.0,0.0,unsure
ENSG00000127824,42.686478,3.532246,0.0,0.0,unsure
ENSG00000128595,42.61421,1.8768859,0.0,0.0,unsure
ENSG00000182718,42.52817,1.6607367,0.0,0.0,unsure
ENSG00000038382,42.50587,2.1557841,0.0,0.0,unsure
ENSG00000167978,42.411938,1.5236852,0.0,0.0,unsure
