names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000135480,81.5473,3.9320664,0.0,0.0,wild-type (wt) virus
ENSG00000117450,79.38419,2.249568,0.0,0.0,wild-type (wt) virus
ENSG00000181019,79.05079,2.6355011,0.0,0.0,wild-type (wt) virus
ENSG00000239672,78.53834,2.1575923,0.0,0.0,wild-type (wt) virus
ENSG00000123416,78.505554,2.6935575,0.0,0.0,wild-type (wt) virus
ENSG00000205426,77.92629,4.5509653,0.0,0.0,wild-type (wt) virus
ENSG00000262814,76.968155,2.645164,0.0,0.0,wild-type (wt) virus
ENSG00000178982,76.8373,1.756597,0.0,0.0,wild-type (wt) virus
ENSG00000143933,76.80886,2.1806037,0.0,0.0,wild-type (wt) virus
ENSG00000182718,76.72877,2.0649188,0.0,0.0,wild-type (wt) virus
ENSG00000159199,76.709274,2.1495318,0.0,0.0,wild-type (wt) virus
ENSG00000170315,76.639435,1.9181193,0.0,0.0,wild-type (wt) virus
ENSG00000142507,76.332596,2.273579,0.0,0.0,wild-type (wt) virus
ENSG00000127824,76.14147,4.328626,0.0,0.0,wild-type (wt) virus
ENSG00000160211,75.433105,2.7638428,0.0,0.0,wild-type (wt) virus
ENSG00000080824,75.10587,2.1745808,0.0,0.0,wild-type (wt) virus
ENSG00000142227,74.85138,2.527668,0.0,0.0,wild-type (wt) virus
ENSG00000189159,74.83509,2.374376,0.0,0.0,wild-type (wt) virus
ENSG00000108518,74.66931,1.5376728,0.0,0.0,wild-type (wt) virus
ENSG00000107223,74.52168,1.9100122,0.0,0.0,wild-type (wt) virus
ENSG00000213145,74.49526,3.1639626,0.0,0.0,wild-type (wt) virus
ENSG00000167641,74.32846,4.397818,0.0,0.0,wild-type (wt) virus
ENSG00000099341,74.32674,2.1112764,0.0,0.0,wild-type (wt) virus
ENSG00000277791,74.13834,2.0329514,0.0,0.0,wild-type (wt) virus
ENSG00000177700,73.37276,1.74798,0.0,0.0,wild-type (wt) virus
ENSG00000111057,72.994095,2.8427472,0.0,0.0,wild-type (wt) virus
ENSG00000196262,72.59524,1.1913877,0.0,0.0,wild-type (wt) virus
ENSG00000167085,72.17206,1.9579288,0.0,0.0,wild-type (wt) virus
ENSG00000126267,71.92685,1.2943897,0.0,0.0,wild-type (wt) virus
ENSG00000161960,71.79009,1.3374459,0.0,0.0,wild-type (wt) virus
ENSG00000105254,71.6636,2.3440635,0.0,0.0,wild-type (wt) virus
ENSG00000188229,71.65943,2.6892374,0.0,0.0,wild-type (wt) virus
ENSG00000132341,71.57119,1.5369347,0.0,0.0,wild-type (wt) virus
ENSG00000092841,71.535095,1.5987436,0.0,0.0,wild-type (wt) virus
ENSG00000128626,71.23712,2.051724,0.0,0.0,wild-type (wt) virus
ENSG00000197747,71.098335,1.5716139,0.0,0.0,wild-type (wt) virus
ENSG00000125743,70.95107,1.532746,0.0,0.0,wild-type (wt) virus
ENSG00000140416,70.674774,2.644477,0.0,0.0,wild-type (wt) virus
ENSG00000105202,70.18884,1.85364,0.0,0.0,wild-type (wt) virus
ENSG00000067225,70.16613,1.3214427,0.0,0.0,wild-type (wt) virus
ENSG00000164687,70.09558,2.6159074,0.0,0.0,wild-type (wt) virus
ENSG00000041357,69.909996,1.9889791,0.0,0.0,wild-type (wt) virus
ENSG00000013275,69.77129,2.324078,0.0,0.0,wild-type (wt) virus
ENSG00000185088,69.43449,1.9201394,0.0,0.0,wild-type (wt) virus
ENSG00000167644,68.95263,2.3986988,0.0,0.0,wild-type (wt) virus
ENSG00000135624,68.876305,1.9912962,0.0,0.0,wild-type (wt) virus
ENSG00000170421,68.8117,2.5834467,0.0,0.0,wild-type (wt) virus
ENSG00000125835,67.894844,1.485728,0.0,0.0,wild-type (wt) virus
ENSG00000130204,67.793976,2.2081945,0.0,0.0,wild-type (wt) virus
ENSG00000165916,67.63195,2.3882804,0.0,0.0,wild-type (wt) virus
