names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000230876,129.16936,4.17355,0.0,0.0,car t cell therapy with suv39h
ENSG00000231079,128.97646,9.334143,0.0,0.0,car t cell therapy with suv39h
ENSG00000269028,126.20011,6.8778415,0.0,0.0,car t cell therapy with suv39h
ENSG00000081237,124.95084,15.118943,0.0,0.0,car t cell therapy with suv39h
ENSG00000280441,123.57839,4.4200573,0.0,0.0,car t cell therapy with suv39h
ENSG00000075884,122.93196,9.108089,0.0,0.0,car t cell therapy with suv39h
ENSG00000271503,122.35428,10.299664,0.0,0.0,car t cell therapy with suv39h
ENSG00000166710,122.03648,3.6082337,0.0,0.0,car t cell therapy with suv39h
ENSG00000134954,121.7668,6.1042485,0.0,0.0,car t cell therapy with suv39h
ENSG00000010810,121.764786,6.4727683,0.0,0.0,car t cell therapy with suv39h
ENSG00000048740,121.489174,7.9397035,0.0,0.0,car t cell therapy with suv39h
ENSG00000127152,121.43773,8.549003,0.0,0.0,car t cell therapy with suv39h
ENSG00000115232,121.14668,7.6671557,0.0,0.0,car t cell therapy with suv39h
ENSG00000152601,121.1125,3.7086556,0.0,0.0,car t cell therapy with suv39h
ENSG00000155307,121.01358,8.248139,0.0,0.0,car t cell therapy with suv39h
ENSG00000185811,121.0055,14.124215,0.0,0.0,car t cell therapy with suv39h
ENSG00000141293,120.78273,9.670436,0.0,0.0,car t cell therapy with suv39h
ENSG00000172673,120.0172,12.5954,0.0,0.0,car t cell therapy with suv39h
ENSG00000152495,119.88841,7.2578077,0.0,0.0,car t cell therapy with suv39h
ENSG00000107099,119.29331,9.461279,0.0,0.0,car t cell therapy with suv39h
ENSG00000155849,119.150154,5.857673,0.0,0.0,car t cell therapy with suv39h
ENSG00000198821,119.12778,7.6415544,0.0,0.0,car t cell therapy with suv39h
ENSG00000118503,118.81522,8.410578,0.0,0.0,car t cell therapy with suv39h
ENSG00000136167,118.81465,9.144691,0.0,0.0,car t cell therapy with suv39h
ENSG00000135842,118.79311,6.6416783,0.0,0.0,car t cell therapy with suv39h
ENSG00000187239,118.66767,4.3818545,0.0,0.0,car t cell therapy with suv39h
ENSG00000065413,118.26609,6.474756,0.0,0.0,car t cell therapy with suv39h
ENSG00000111348,118.21776,6.616207,0.0,0.0,car t cell therapy with suv39h
ENSG00000108669,118.11397,5.157655,0.0,0.0,car t cell therapy with suv39h
ENSG00000078304,117.97588,4.119735,0.0,0.0,car t cell therapy with suv39h
ENSG00000158985,117.41166,4.133259,0.0,0.0,car t cell therapy with suv39h
ENSG00000124942,117.3023,3.5462563,0.0,0.0,car t cell therapy with suv39h
ENSG00000069493,117.27941,6.2310023,0.0,0.0,car t cell therapy with suv39h
ENSG00000228716,117.256424,2.958247,0.0,0.0,car t cell therapy with suv39h
ENSG00000168675,117.09893,6.3659906,0.0,0.0,car t cell therapy with suv39h
ENSG00000027075,117.05252,4.5973544,0.0,0.0,car t cell therapy with suv39h
ENSG00000169442,117.05066,12.5576105,0.0,0.0,car t cell therapy with suv39h
ENSG00000115165,117.04412,10.170892,0.0,0.0,car t cell therapy with suv39h
ENSG00000160584,116.96567,4.004192,0.0,0.0,car t cell therapy with suv39h
ENSG00000134242,116.754654,9.61185,0.0,0.0,car t cell therapy with suv39h
ENSG00000171310,116.743286,4.4547057,0.0,0.0,car t cell therapy with suv39h
ENSG00000114423,116.60574,4.636094,0.0,0.0,car t cell therapy with suv39h
ENSG00000081320,116.45936,4.98634,0.0,0.0,car t cell therapy with suv39h
ENSG00000113263,116.4367,10.655644,0.0,0.0,car t cell therapy with suv39h
ENSG00000053254,116.419495,4.1435757,0.0,0.0,car t cell therapy with suv39h
ENSG00000168421,116.07021,10.184881,0.0,0.0,car t cell therapy with suv39h
ENSG00000153283,115.97837,5.9934244,0.0,0.0,car t cell therapy with suv39h
ENSG00000120690,115.853485,3.6811576,0.0,0.0,car t cell therapy with suv39h
ENSG00000124788,115.82251,3.679261,0.0,0.0,car t cell therapy with suv39h
ENSG00000116824,115.55171,16.532202,0.0,0.0,car t cell therapy with suv39h
