names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000230876,181.53241,4.1888676,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000231079,181.35347,9.7618,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000269028,177.21674,7.2053685,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000280441,173.91661,4.6577587,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000081237,172.15019,14.908414,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000166710,169.36357,3.3519475,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000118503,169.10826,8.672017,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000271503,168.64647,10.012921,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000075884,167.25008,8.7424755,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000127152,166.52766,8.457339,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000228716,166.43823,3.1462405,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000048740,166.23987,7.7155066,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000155307,165.99161,8.287389,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000134954,165.58205,5.904143,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000010810,165.39937,6.3380284,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000141293,165.21329,9.484286,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000168675,164.02167,6.473397,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000172673,163.96646,12.445089,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000152601,163.90863,3.4502802,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000135842,163.3081,6.8572555,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000185811,163.14008,13.696125,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000115232,163.04037,7.295685,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000152495,162.48024,6.9604516,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000136167,162.22551,9.073581,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000081320,161.99326,5.135413,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000168421,161.83978,10.391417,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000160584,161.78041,4.1217604,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000134242,161.67221,9.73679,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000111348,161.6708,6.5591116,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000078304,161.64279,3.9904523,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000187239,161.6268,4.377471,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000110848,161.35294,31.872652,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000153283,161.10251,6.0800457,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000107099,161.08871,9.2470255,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000115165,161.06198,10.195378,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000113263,160.79553,10.775957,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000152518,160.04338,4.173504,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000158985,159.4348,4.0986443,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000155849,159.16127,5.581686,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000108669,159.02112,5.0750084,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000120690,158.8963,3.7150185,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000198821,158.87291,7.2514267,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000124942,158.02094,3.4297798,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000138767,157.63737,5.58749,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000169442,157.43216,12.305355,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000065413,157.40727,6.116061,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000186469,157.37538,6.433217,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000122862,157.25348,4.3135567,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000059804,157.24612,4.8790836,0.0,0.0,"car t cell therapy, suv39h1 kn"
ENSG00000102760,157.2321,6.1669073,0.0,0.0,"car t cell therapy, suv39h1 kn"
