names,scores,logfoldchanges,pvals,pvals_adj,drug
ENSG00000280441,55.679737,7.1664824,0.0,0.0,"ritonavir, gemcitabine, cispla"
ENSG00000255823,53.248077,12.038042,0.0,0.0,"ritonavir, gemcitabine, cispla"
ENSG00000136156,45.31409,4.9699984,0.0,0.0,"ritonavir, gemcitabine, cispla"
ENSG00000168298,43.98544,8.978382,0.0,0.0,"ritonavir, gemcitabine, cispla"
ENSG00000269028,41.13756,8.260804,0.0,0.0,"ritonavir, gemcitabine, cispla"
ENSG00000167658,38.203915,2.1387959,0.0,0.0,"ritonavir, gemcitabine, cispla"
ENSG00000167526,37.586422,2.1520574,3.58244345214978e-309,1.4498257209742649e-307,"ritonavir, gemcitabine, cispla"
ENSG00000231079,36.619064,8.709587,1.4225276432567652e-293,5.134632751681825e-292,"ritonavir, gemcitabine, cispla"
ENSG00000244734,28.827066,15.745614,9.824795199857003e-183,1.4054424255905123e-181,"ritonavir, gemcitabine, cispla"
ENSG00000108654,28.11786,2.9067543,5.925668219000274e-174,7.926530869230015e-173,"ritonavir, gemcitabine, cispla"
ENSG00000206172,23.367607,10.760562,9.127490913032446e-121,7.556376558500553e-120,"ritonavir, gemcitabine, cispla"
ENSG00000118503,22.846619,7.8697877,1.5790254870514522e-115,1.2498933845821216e-114,"ritonavir, gemcitabine, cispla"
ENSG00000188536,22.69842,13.563494,4.643997640137312e-114,3.629536357886342e-113,"ritonavir, gemcitabine, cispla"
ENSG00000211772,21.761759,14.666603,5.345715633708341e-105,3.8399903954013355e-104,"ritonavir, gemcitabine, cispla"
ENSG00000157514,21.520834,6.112344,9.935923207178803e-103,7.000223761158175e-102,"ritonavir, gemcitabine, cispla"
ENSG00000185811,20.627987,12.59508,1.5392747962822824e-94,1.01587876849719e-93,"ritonavir, gemcitabine, cispla"
ENSG00000070756,20.502016,0.69864184,2.0655325442023773e-93,1.3525005017813097e-92,"ritonavir, gemcitabine, cispla"
ENSG00000158578,20.47093,12.009563,3.910865921456148e-93,2.5523063210628985e-92,"ritonavir, gemcitabine, cispla"
ENSG00000162722,20.35571,7.245468,4.1322791505908164e-92,2.6753642869871274e-91,"ritonavir, gemcitabine, cispla"
ENSG00000278996,19.763254,7.0087733,6.169697598920217e-87,3.8274593725891534e-86,"ritonavir, gemcitabine, cispla"
ENSG00000004939,19.621355,11.389978,1.0160907191672564e-85,6.220248795664898e-85,"ritonavir, gemcitabine, cispla"
ENSG00000228716,19.472408,2.3447676,1.882099355470275e-84,1.139842794856549e-83,"ritonavir, gemcitabine, cispla"
ENSG00000183508,18.996984,8.565571,1.8063139671842988e-80,1.0538041365778327e-79,"ritonavir, gemcitabine, cispla"
ENSG00000273149,18.555305,8.859985,7.388504961268317e-77,4.183979030644955e-76,"ritonavir, gemcitabine, cispla"
ENSG00000081237,18.460358,11.9043665,4.3048836229347135e-76,2.4250287565808036e-75,"ritonavir, gemcitabine, cispla"
ENSG00000133742,17.540361,8.394908,7.047780743741973e-69,3.7428233413719896e-68,"ritonavir, gemcitabine, cispla"
ENSG00000162511,17.13379,9.481783,8.306451864131646e-66,4.295118705894803e-65,"ritonavir, gemcitabine, cispla"
ENSG00000163554,17.068827,14.346771,2.5324121096073696e-65,1.3058251044875809e-64,"ritonavir, gemcitabine, cispla"
ENSG00000110848,16.313538,30.576565,7.907740734368582e-60,3.8941540949719496e-59,"ritonavir, gemcitabine, cispla"
ENSG00000143119,16.24635,10.985664,2.370680122705961e-59,1.1619534341882946e-58,"ritonavir, gemcitabine, cispla"
ENSG00000115232,15.3155575,5.31418,6.019319682787509e-53,2.802189703972523e-52,"ritonavir, gemcitabine, cispla"
ENSG00000223609,14.627203,14.392329,1.8837291711310845e-48,8.424048964067058e-48,"ritonavir, gemcitabine, cispla"
ENSG00000112077,14.509104,10.198504,1.0609707629474621e-47,4.710597318256631e-47,"ritonavir, gemcitabine, cispla"
